Date,Value
07/2022,1766.4309
08/2022,1708.58
09/2022,1660.8799
10/2022,1632.38
11/2022,1768.61
12/2022,1824.3233
01/2023,1928.1201
02/2023,1826.7404
03/2023,1969.5459
04/2023,1990.6
05/2023,1965.2
06/2023,1919.5693
07/2023,1964.3387
08/2023,1939.8281
09/2023,1848.4898
10/2023,1984.0109
11/2023,2044.8957
12/2023,2062.9233
01/2024,2039.1538
02/2024,2044.1997
03/2024,2231.5551
04/2024,2285.9886
05/2024,2327.2836
06/2024,2326.7177
07/2024,2447.3573
08/2024,2503.3796
09/2024,2634.7649
10/2024,2746.7019
11/2024,2651.2196
12/2024,2624.603
01/2025,2798.1969
02/2025,2858.0493
03/2025,3123.0822
04/2025,3288.7814
05/2025,3289.5548
06/2025,3266.4101
07/2025,3285.7772
08/2025,3373.9558
09/2025,3759.5257
10/2025,4094.0485
